priority,phase,proposed_title,target_url,content_type,primary_keyword,supporting_keyword_cluster,search_intent,conversion_goal,prerequisite,status,notes
P0,1,Website Design Company in Goa,/,homepage,website design company in goa,core web design variants,commercial_transactional,project enquiry,Resolve public 403; confirm NAP and services,planned,One homepage owns all close design/company/agency variants.
P0,1,Website Development Company in Goa,/website-development-goa/,service_page,website development company in goa,"developers, custom development, web apps",commercial_transactional,development enquiry,Confirm development capabilities and portfolio proof,planned,Separate design intent from deeper engineering intent.
P0,1,Ecommerce Website Development in Goa,/ecommerce-website-development-goa/,service_page,ecommerce website development company in goa,"Shopify, WooCommerce, online stores",commercial_transactional,store build enquiry,Confirm supported platforms and integrations,planned,"Include payments, catalog, shipping, and case-study proof."
P0,1,Local SEO Services in Goa,/local-seo-goa/,service_page,local seo services in goa,"SEO company, Maps SEO, local business SEO",commercial_transactional,SEO consultation,Define actual deliverables and reporting,planned,"Connect website optimization with GBP, citations, reviews, and local content."
P1,1,Google Business Profile Optimization in Goa,/google-business-profile-optimization-goa/,service_page,google business profile optimization goa,"GBP management, Google Maps ranking",commercial_transactional,GBP audit request,Confirm service ownership and access process,planned,Use current GBP naming; mention GMB only as a natural legacy synonym.
P1,1,Website Redesign Services in Goa,/website-redesign-goa/,service_page,website redesign company in goa,"revamp, migration, responsive redesign",commercial_transactional,redesign audit request,Create before-and-after evidence,planned,"Address dated design, slow speed, poor mobile UX, weak conversion, and SEO migration."
P1,1,Website Maintenance Services in Goa,/website-maintenance-goa/,service_page,website maintenance services in goa,"AMC, support, backups, security",commercial_transactional,maintenance plan enquiry,Define plan scope and response times,planned,Avoid promises not supported by operations.
P1,1,WordPress Website Design in Goa,/wordpress-website-design-goa/,service_page,wordpress website design company in goa,"WordPress developer, WooCommerce",commercial_transactional,WordPress project enquiry,Confirm WordPress is an offered platform,conditional,Do not publish unless this is a real service.
P1,1,Website Design Cost in Goa,/website-design-cost-goa/,commercial_guide,website design cost in goa,"prices, packages, charges",commercial_investigation,qualified quote request,Approve honest pricing ranges,planned,Explain scope drivers; avoid bait pricing.
P1,2,Hotel Website Design in Goa,/industries/hotel-website-design-goa/,industry_page,hotel website design company goa,"direct booking, hospitality SEO",commercial_transactional,hotel project enquiry,Require hospitality work or demonstrable expertise,planned,Highest-fit Goa vertical; emphasize direct bookings and OTA independence.
P1,2,Resort Website Design in Goa,/industries/resort-website-design-goa/,industry_page,resort website design goa,"booking engine, multilingual, mobile",commercial_transactional,resort project enquiry,Require resort-specific proof,planned,May consolidate with hotel page if evidence is thin.
P1,2,Restaurant Website Design in Goa,/industries/restaurant-website-design-goa/,industry_page,restaurant website design goa,"menus, reservations, ordering",commercial_transactional,restaurant project enquiry,Require F&B examples or a tailored demo,planned,"Cover menu UX, WhatsApp, maps, reservations, and local discovery."
